御金沙澜山 3室2厅 南,520,37788,白云,3室2厅2卫,137.61㎡,平层,塔楼,中楼层(共24层),暂无数据,暂无,南,钢混结构,其他,,有,,
广园近地铁电梯南向大两房 带20方露台 大院管理,185,26573,白云,2室1厅1卫,69.62㎡,平层,塔楼,低楼层(共6层),暂无数据,62.9㎡,南,钢混结构,其他,,有,医院：广州中医药大学附属医院（三甲医院）~、十二人民医院~、景泰医院等公园：雕塑公园~、麓湖公园~、三泰公园等公交：479~、186~、284~、34~、265等公交线路菜市场：白云市场~、柯子岭肉菜市场,11号线地铁中医药大学站300米~、公交站：广园新村公交站~、公交线路：479~、186~、284~、34~、265等二十多条公交线路~、可以去往天河~、越秀~、荔湾~、海珠~、番禺等地铁：2号线飞翔公园地铁站位于广园中路及广园快速路交界处~、出行方便~、配套成熟
泽德小两房~、户型方正实用 ~、配套便利,103,21124,白云,2室1厅1卫,48.76㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,东南,钢混结构,简装,,,商城有新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈1公里的悦汇城~、悦汇城于今年9月开业~、建面达280000㎡~、属于广州西部前一、广州第二大的单体购物商城。公园有同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方,地铁8号线上步站/聚龙站公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51、夜15、夜21、夜2
时代玫瑰园 南向温馨大三房 前后平台花园 格局实用,498,39997,白云,3室2厅2卫,124.51㎡,平层,塔楼,低楼层(共18层),暂无数据,103.15㎡,南,钢混结构,精装,,有,小区出门口200米内就有华润、西亚兴安chao市、大森林药店、生鲜店、养发馆、农业银行、中国银行、建设银行、工商银行、7-11、全家便利店~、生活方便。,小区位于2号线黄边站上盖~、交通便利~、小区三期东门出门口步行50米就可以到达2号线黄边站以及公交站：38、58、798、831、794路~、出行便捷。
云西小区 精装电梯大两房 对流通风好,168,26579,白云,2室2厅1卫,63.21㎡,平层,塔楼,高楼层(共8层),暂无数据,56.73㎡,南,钢混结构,其他,,有,有人人佳商场柯子岭菜市场云苑市场白云市场车站地铁二号线飞翔公园站配套成熟小区有车位及步行200米即到182、124、284、186公交总站大型商场凯德广场五号停机坪等购物广场,265、34、36、38、522、529、544、547、66、76A、76、805、834、864、885、大学城1线地铁二号线飞翔公园
荷塘月色精装低楼层诚意看房 ~~~,480,37544,白云,3室1厅2卫,127.85㎡,平层,塔楼,低楼层(共25层),暂无数据,104.9㎡,西南,钢混结构,其他,,有,旺家商场、钱大妈商市、果园、大森林药房、肉菜市场公园：白云山风景区、南湖风景区、新体育馆、雕塑公园、真功夫、白云汇、电影院、美容养生、黄冈教,地铁2号线~、萧岗站~、公交车：祥景花园站、安华装饰城站~、途经线路有126路、663、244短线、244路、265路、268路、291A、291B、36路、563路、803路、810路、832路、841路、高峰快线5、夜22路、夜9路、615路等多条公交接驳到广州各个区
白云新城 花园式小区 南向高层 视野好,500,51884,白云,3室1厅1卫,96.37㎡,平层,塔楼,高楼层(共18层),暂无数据,79.07㎡,南,钢混结构,其他,,有,白云新城白云金街~、凯德广场~、五号停机坪~、绿地~、好又多美食~、美食街~、江山食府~、台湾涮涮锅~、汉拿山韩式烤肉~、肯德基~、麦当劳等。娱乐：大玩家。公园：白云山风景区~、云溪生态公园,127路~、223路~、245路~、265路~、36路~、38路~、B18路~、841路~、190路~、36路~、544路~、864路~、夜32路~、大学城1线~、805路~、712路~、547路~、66路~、76路~、93路~、76A路~、66路~、713路。地铁2号线飞翔公园站等多条交通路线
小区物业管理质量高~、满五年唯一,468,41391,白云,3室2厅2卫,113.07㎡,平层,塔楼,中楼层(共23层),暂无数据,88.85㎡,西,钢混结构,精装,,有,菜市场、商场、交通、银行、医院等配套都完善~、成熟。银行：工行、建行、中行等；医院：一五七医院~、南方医院~、京溪社区医院等；商场：乐购、广柏柏货、摩登柏货、太阳城广场等,距离地铁3号线~、距离约700米。还有在建的地铁18号线二期京溪路站约600米距离（2026年通车）~、小区门口有公交车站~、有126~、136~、16~、241~、502~、旅游3等
政通路规划局大院~、南北向~、户型好！,350,36087,白云,3室2厅2卫,96.99㎡,平层,塔楼,低楼层(共10层),暂无数据,暂无,南北,钢混结构,简装,,有,,公交车站：雕塑公园站、广园客运站、童心北站~、地铁：11号线中医药大学C出口。
广园新村高层南向视野宽阔采光充足,138,20241,白云,2室1厅1卫,68.18㎡,平层,塔楼,高楼层(共9层),暂无数据,暂无,南,钢混结构,其他,,,白云老城区~、绿化好空气质量好~、交通生活便利~、云苑市场~、人人佳商场~、医疗社区医院三甲中医学院~、白云市场~、云苑市场~、柯子岭肉菜市场~、中医药大学附属医院~、十二人民医院~、社区医院~、沃尔玛~、达广场~、五号停机坪等,交通状况公交:175路、179路、181路、182路、189路、199路、241路、24路、257路、265路、273路、278路、298路地铁:2号线飞翔公园站幼儿园广园幼儿园幼儿园广园第幼儿园广园第二幼儿园广园第三
中楼层单边楼位。保养新即买即住,106,21753,白云,2室1厅1卫,48.73㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,西,钢混结构,其他,,,幼儿园：同德幼儿园商场：好亦佳购物商城银行：中国工商银行农业银行,公交：215路、17路、545路、832路、527路、524路、238路、175路、176路、196路、228路、539路、212路、241路距离地铁8号线聚龙站步行500米
白云雅苑中楼层即买即住保养很新,116,22172,白云,2室1厅1卫,52.32㎡,平层,塔楼,中楼层(共7层),暂无数据,暂无,东南西,钢混结构,其他,,,幼儿园：同德幼儿园商场：好亦佳购物商城银行：中国工商银行农业银行,公交：215路、17路、545路、832路、527路、524路、238路、175路、176路、196路、228路、539路、212路、241路距离地铁8号线聚龙站步行500米房主自荐(业主对房源的描述)
集贤苑罕见高楼层1房1厅 采光通风好 诚心卖,176,30981,白云,1室2厅1卫,56.81㎡,平层,塔楼,高楼层(共11层),暂无数据,50.17㎡,北,钢混结构,精装,,有,集贤苑1000米内有华润~、全家便利店~、水果市场等便民服务。还有有四大银行~、和楼下有一排商铺~、尽享繁华城区生活。该小区东走733米可至bai世广场~、此广场有各类餐饮店~、大型综合市场~、可满足业主日常生活需求,地铁2、3、14号线交汇口大概800米左右~、公交车：804路、886路、805路、76路、920路、922路、924路、926路、509路、66路、803路~、集贤苑教师新村总站
新兴白云花园 安静两房 中楼层 保养好,133,19039,白云,2室1厅1卫,69.86㎡,平层,塔楼,中楼层(共9层),暂无数据,暂无,东西,钢混结构,简装,,,小区里面有公立的还有菜市场出门是解放庄各种小吃都有步行800米就到了大型的综合体安华汇里面有购物广场电影院美食城等,小区位置好双地铁：3号线地铁白云大道北站和2号线地铁黄边站公交总站223路/831路/268路高峰61路
高楼层南向三房~、满五不唯一.~、厅出阳台,387,31947,白云,3室1厅2卫,121.14㎡,平层,塔楼,高楼层(共23层),暂无数据,暂无,南,钢混结构,其他,,有,小区近大浦菜市场、家乐福、永辉、好又多等SHOPINGMALL餐饮：马务美食街、马务广场、金国广场银行：邮政储蓄银行、农商银行、工商银行、中国银行、建设银行,小区距离50米807A总站距离500米244A278538980等多个公交车地铁目前在建12-14号线距离50米有个大型交通枢纽广州白云站
楼龄新 南向中层 户型方正 采光好,315,37514,白云,3室1厅1卫,83.97㎡,平层,塔楼,低楼层(共33层),暂无数据,暂无,南,钢混结构,精装,,有,,800米同和地铁~、有金铂广场~、南方医院三甲医院~、配套成熟安居的好地方
满五唯一~、中高楼层楼间距宽~、视野好,218,24190,白云,3室2厅1卫,90.12㎡,平层,塔楼,中楼层(共17层),暂无数据,71.62㎡,东北,钢混结构,精装,,有,小区里边有交通银行~、果园~、新乐鲜等能够满足基本生活需求小区出门就有仓隆比较大型的商场~、还有步行街,目前是978和21路公交。出门就是广花一路~、全程无红绿灯的一条快速路来的
荷塘月色精装两房 户型方正 采光好望白云山,265,34260,白云,2室1厅1卫,77.35㎡,平层,塔楼,中楼层(共18层),暂无数据,63.58㎡,东,钢混结构,其他,,有,旺家商场、钱大妈商市、果园、大森林药房、肉菜市场公园：白云山风景区、南湖风景区、新体育馆、雕塑公园、真功夫、白云汇、电影院、美容养生、黄冈教,地铁2号线~、萧岗站1.1KM~、公交车：祥景花园站、安华装饰城站~、途经线路有126路、663、244短线、244路、265路、268路、291A、291B、36路、563路、803路、810路、832路、841路、高峰快线5、夜22路、夜9路、615路等多条公交接驳到广州各个区
富多来花园 电梯两房 地铁上步站300米 有露台,150,25725,白云,2室1厅1卫,58.31㎡,暂无数据,塔楼,低楼层(共9层),暂无数据,暂无,西,钢混结构,其他,,有,商城有新都汇购物广场、骐利广场、凯升广场、骏荣广场等~、距离同德围商圈1公里的悦汇城建面达280000平方米~、属于广州西部前一、广州第二大的单体购物商城。公园有同德公园、聚龙公园、石井河绿道等可供居民日常健身休闲的地方。,地铁8号线上步站公交：752、夜80、134、175、176、17、17短线、196、212、215、215长线、228、238、241、524、527、539、543、545、62、832、975、高峰快线26、高峰快线27、高峰快线29、高峰快线2、高峰快线3、高峰快线51、夜15、夜21、夜2、夜76。
时代云来精装三房 优品家私家电精装修 地铁直达天河,300,32748,白云,3室2厅1卫,91.61㎡,平层,暂无数据,高楼层(共28层),暂无数据,暂无,南,钢混结构,其他,,有,小区在18号线~、商场~、菜市场~、酒店~、四大银行~、中医院白云分医院~、流溪河公园~、医疗:三甲广州中医药大学附属医院白云分院,交通：出门公交18号线地铁口。居住人群：天河珠江新城和机场上班人群.
板块聚焦：天河星荟安静南向阳光3房~、进阶品质生活！,378,35983,白云,3室2厅1卫,105.05㎡,平层,塔楼,低楼层(共10层),暂无数据,86.82㎡,南,钢混结构,其他,,有,摩登bai货、佳润广场、吉之岛太阳城广场乐购邮局：梅花园邮局、同和邮局、南方医院邮政营业厅银行：工商银行、建设银行、农业银行、中国银行、农商银行、广发银行医院：一五七医院、南方医院、三九脑科医院、同和医院,地铁：3号线京溪南方医院站300米~、18号线北延段京溪路站900米（在建）~、公交：126、136、241、83~、804、502、179等
广园新村  低层正规两房  住家装修保养好,122,21333,白云,2室2厅1卫,57.19㎡,平层,塔楼,中楼层(共8层),暂无数据,暂无,北,钢混结构,精装,,,白云市场~、云苑市场~、柯子岭肉菜市场~、中医药大学附属医院~、十二人民医院~、社区医院~、沃尔玛~、达广场~、五号停机坪等,地铁：2号线飞翔公园站~、11号线中医药大学站在建~、预计2024年年底开通公交：186、284、479、921、124、182总站还有175、179、181、189、199、210、241、24、257、265、273、278、298、32、38、46、540、60、63、810、34等公交
金域蓝湾 3室1厅 东北,501,51826,白云,3室1厅2卫,96.67㎡,平层,塔楼,高楼层(共34层),暂无数据,75.7㎡,东北,钢混结构,其他,,有,,
人和龙湖天柱18号线地铁直达珠江新城36多急卖业主,390,28004,白云,4室2厅2卫,139.27㎡,平层,板塔结合,中楼层(共16层),暂无数据,暂无,南北,钢混结构,简装,,有,小区在人和18号线地铁口~、有华通商场~、菜市场~、酒店~、四大银行~、中医院白云分医院~、流溪河公园~、娱乐休闲场地华通广场白云新天地（建设中）医疗:三甲广州中医药大学附属医院白云分院,离地铁口200米~、18和22号线地铁在建设中~、26年开通~、门口有多条公交可以回市区和花都。近高速蚌湖出口~、人和出口~、双高速出口
